"date","time","location","bytes","request_ip","method","host","uri","status","referrer","user_agent","query_string","cookie","result_type","request_id","host_header","request_protocol","request_bytes","time_taken","xforwarded_for","ssl_protocol","ssl_cipher","response_result_type","http_version","fle_status","fle_encrypted_fields","c_port","time_to_first_byte","x_edge_detailed_result_type","sc_content_type","sc_content_len","sc_range_start","sc_range_end","datetime"
"2023-11-07","01:17:52","FRA56-P4","18475","45.145.68.10","GET","d1g8g08chul59y.cloudfront.net","/offshore/company-formation/seychelles/open-bank-account","200","https://www.google.com.hk/","Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/118.0.0.0%20Safari/537.36","-","-","Hit","Rq48xU4NtWdw5XGyKBHuS4I5pnymtmdvHLxu9qElw3dvgb4HSNxUsA==","bbcincorp.com","https","1278","0.048","-","TLSv1.3","TLS_AES_128_GCM_SHA256","Hit","HTTP/2.0","-",,"8282","0.048","Hit","text/html",,,,"2023-11-07 01:17:52.000 UTC"
"2023-11-07","03:05:20","HIO50-C2","18793","44.230.252.91","GET","d1g8g08chul59y.cloudfront.net","/offshore/company-formation/seychelles/open-bank-account","200","-","thesis-research-bot","-","-","Hit","pGGyS6Zvsai1iApR3qdxzUQwa1F_n8f6hsKZy_trONNP7RUJDqG9CA==","bbcincorp.com","https","177","0.033","-","TLSv1.2","ECDHE-RSA-AES128-GCM-SHA256","Hit","HTTP/1.1","-",,"17656","0.033","Hit","text/html",,,,"2023-11-07 03:05:20.000 UTC"
"2023-11-07","05:31:35","SYD1-C2","18646","193.119.65.250","GET","d1g8g08chul59y.cloudfront.net","/offshore/company-formation/seychelles/open-bank-account","200","https://www.google.com/","Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/118.0.0.0%20Safari/537.36","-","-","Hit","TzStIdk6c084C_clOoD7aB8kXw7otLaTyNgBVDFiVf80lxCGb1SCjw==","bbcincorp.com","https","510","0.644","-","TLSv1.3","TLS_AES_128_GCM_SHA256","Hit","HTTP/2.0","-",,"62808","0.644","Hit","text/html",,,,"2023-11-07 05:31:35.000 UTC"
"2023-11-07","05:48:04","ATL59-P2","18737","66.249.66.197","GET","d1g8g08chul59y.cloudfront.net","/offshore/company-formation/seychelles/open-bank-account","200","-","Mozilla/5.0%20(Linux;%20Android%2013;%20Pixel%207)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/118.0.5993.117%20Mobile%20Safari/537.36%20(compatible;%20Googlebot/2.1;%20+http://www.google.com/bot.html)","-","-","Miss","qbj_wwK1zCXMaP4SBXqVM7wD81TznGbijSg8Oih-3s1zDunnDwoVMw==","bbcincorp.com","https","584","0.153","-","TLSv1.3","TLS_AES_128_GCM_SHA256","Miss","HTTP/1.1","-",,"47786","0.153","Miss","text/html",,,,"2023-11-07 05:48:04.000 UTC"
"2023-11-07","07:52:14","FRA56-P4","18473","82.79.141.104","GET","d1g8g08chul59y.cloudfront.net","/offshore/company-formation/seychelles/open-bank-account","200","https://bbcincorp.com/offshore/company-formation/seychelles","Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/118.0.0.0%20Safari/537.36","-","-","Hit","kUSEVY1CZBF4Dd4QVAy8PLh_YDhHnwdh6p9P49iJAsl8gqJ5Itm_uw==","bbcincorp.com","https","316","0.038","-","TLSv1.3","TLS_AES_128_GCM_SHA256","Hit","HTTP/2.0","-",,"49940","0.038","Hit","text/html",,,,"2023-11-07 07:52:14.000 UTC"
"2023-11-07","09:05:43","FRA56-P4","18474","54.36.148.76","GET","d1g8g08chul59y.cloudfront.net","/offshore/company-formation/seychelles/open-bank-account","200","-","Mozilla/5.0%20(compatible;%20AhrefsBot/7.0;%20+http://ahrefs.com/robot/)","-","-","Hit","RL-sHQMatfAL6q4lG4zGRvmzuhgLBtSHObbjVVu2UBIEp5-XJuqiqw==","bbcincorp.com","https","135","0.046","-","TLSv1.3","TLS_AES_128_GCM_SHA256","Hit","HTTP/2.0","-",,"27525","0.046","Hit","text/html",,,,"2023-11-07 09:05:43.000 UTC"
"2023-11-07","09:19:38","SIN2-P2","19457","13.213.73.45","GET","d1g8g08chul59y.cloudfront.net","/offshore/company-formation/seychelles/open-bank-account","200","https://bbcincorp.com/offshore/company-formation/seychelles/open-bank-account","WordPress/6.1.4;%20https://testwebp.bbcincorp.com","-","-","Hit","6KpVKutidPA2KnXTiGuQaXnEnbYLf2xc-IxXmdHigv0YNstKkq-_SA==","bbcincorp.com","https","311","0.029","-","TLSv1.3","TLS_AES_128_GCM_SHA256","Hit","HTTP/1.1","-",,"58142","0.029","Hit","text/html",,,,"2023-11-07 09:19:38.000 UTC"
"2023-11-07","09:19:38","SIN2-P2","899","13.213.73.45","HEAD","d1g8g08chul59y.cloudfront.net","/offshore/company-formation/seychelles/open-bank-account","200","https://bbcincorp.com/offshore/company-formation/seychelles/open-bank-account","WordPress/6.1.4;%20https://testwebp.bbcincorp.com","-","-","Hit","qMlX7B23lF7dEHPoky76Qfx5KDUpustZI0K4CsoUgBWhaGfwkPIrTw==","bbcincorp.com","https","312","0.026","-","TLSv1.3","TLS_AES_128_GCM_SHA256","Hit","HTTP/1.1","-",,"44362","0.026","Hit","text/html",,,,"2023-11-07 09:19:38.000 UTC"
"2023-11-07","09:28:45","SIN2-P2","897","13.213.73.45","HEAD","d1g8g08chul59y.cloudfront.net","/offshore/company-formation/seychelles/open-bank-account","200","https://bbcincorp.com/offshore/company-formation/seychelles/open-bank-account","WordPress/6.1.4;%20https://testwebp.bbcincorp.com","-","-","Hit","Ri9FMvxmcvV4imrjchQkhas5y2NRgrKw1c20fjYCqH4_v_vh9IKmug==","bbcincorp.com","https","312","0.028","-","TLSv1.3","TLS_AES_128_GCM_SHA256","Hit","HTTP/1.1","-",,"57440","0.028","Hit","text/html",,,,"2023-11-07 09:28:45.000 UTC"
"2023-11-07","09:35:09","SIN2-P2","19448","13.213.73.45","GET","d1g8g08chul59y.cloudfront.net","/offshore/company-formation/seychelles/open-bank-account","200","https://bbcincorp.com/offshore/company-formation/seychelles/open-bank-account","WordPress/6.1.4;%20https://testwebp.bbcincorp.com","-","-","Hit","Gh2qb-Z0ReH0S0cnRR9mVH2McrsZ0m4aQ676SmMReMoaXO6CpvWeXg==","bbcincorp.com","https","311","0.028","-","TLSv1.3","TLS_AES_128_GCM_SHA256","Hit","HTTP/1.1","-",,"45836","0.028","Hit","text/html",,,,"2023-11-07 09:35:09.000 UTC"
